,No.,Name,Position,Year,Height,Goals,Assists,Ds,Turns,url,Team,Seed,UpperName
24,31,Stephanie Lim,Handler,,,1,3,1,1,/events/teams/?EventTeamId=1F5D0Xyvx7IyQOC5SH7O2ojGIZk5syH4ZeE9EWWwkcw%3d,Seattle Riot,1,STEPHANIE LIM
25,77,Jillian Goodreau,Mid,,,1,0,1,1,/events/teams/?EventTeamId=1F5D0Xyvx7IyQOC5SH7O2ojGIZk5syH4ZeE9EWWwkcw%3d,Seattle Riot,1,JILLIAN GOODREAU
26,81,Charlie Mercer,Mid,,,3,1,4,0,/events/teams/?EventTeamId=1F5D0Xyvx7IyQOC5SH7O2ojGIZk5syH4ZeE9EWWwkcw%3d,Seattle Riot,1,CHARLIE MERCER
0,0,Marianna Heckendorn,,,,1,1,1,0,/events/teams/?EventTeamId=UXoL%2b2%2f5ZNP%2bd6MA5JFfC%2fCCYUABjNGPVlLXhp%2boD8M%3d,Underground,13,MARIANNA HECKENDORN
1,1,Jessica Spaulding,Handler,,"5'9""",0,2,0,0,/events/teams/?EventTeamId=UXoL%2b2%2f5ZNP%2bd6MA5JFfC%2fCCYUABjNGPVlLXhp%2boD8M%3d,Underground,13,JESSICA SPAULDING
2,2,Lindsey Wilson,,,,0,1,1,0,/events/teams/?EventTeamId=UXoL%2b2%2f5ZNP%2bd6MA5JFfC%2fCCYUABjNGPVlLXhp%2boD8M%3d,Underground,13,LINDSEY WILSON
3,3,Daniella Welsh,,,,0,0,0,0,/events/teams/?EventTeamId=UXoL%2b2%2f5ZNP%2bd6MA5JFfC%2fCCYUABjNGPVlLXhp%2boD8M%3d,Underground,13,DANIELLA WELSH
4,4,Nicole Cramer,Defense (Cutter),,"5'6""",1,1,2,0,/events/teams/?EventTeamId=UXoL%2b2%2f5ZNP%2bd6MA5JFfC%2fCCYUABjNGPVlLXhp%2boD8M%3d,Underground,13,NICOLE CRAMER
5,5,Tiffany Phan,Handler,,"5'0""",1,1,0,0,/events/teams/?EventTeamId=UXoL%2b2%2f5ZNP%2bd6MA5JFfC%2fCCYUABjNGPVlLXhp%2boD8M%3d,Underground,13,TIFFANY PHAN
6,6,Molly Sinnott,,,,1,1,0,0,/events/teams/?EventTeamId=UXoL%2b2%2f5ZNP%2bd6MA5JFfC%2fCCYUABjNGPVlLXhp%2boD8M%3d,Underground,13,MOLLY SINNOTT
