,No.,Name,Position,Year,Height,Goals,Assists,Ds,Turns,url,Team,Seed,UpperName
0,1,Jonathan Su,,,"6'9""",1,0,0,2,/events/teams/?EventTeamId=YwRRYt35ix7dVlcKJR9nPuJOLhKkWPIIh14%2fN3mXtiI%3d,North Carolina,1,JONATHAN SU
1,2,Liam Searles-Bohs,Dump,,"6'1""",13,18,5,10,/events/teams/?EventTeamId=YwRRYt35ix7dVlcKJR9nPuJOLhKkWPIIh14%2fN3mXtiI%3d,North Carolina,1,LIAM SEARLES-BOHS
2,3,Seth Lee,,,,4,0,2,2,/events/teams/?EventTeamId=YwRRYt35ix7dVlcKJR9nPuJOLhKkWPIIh14%2fN3mXtiI%3d,North Carolina,1,SETH LEE
3,4,Suraj Madiraju,Defense (Cutter),,"6'0""",5,2,1,2,/events/teams/?EventTeamId=YwRRYt35ix7dVlcKJR9nPuJOLhKkWPIIh14%2fN3mXtiI%3d,North Carolina,1,SURAJ MADIRAJU
4,5,Andrew Li,Deep,,"6'5""",1,0,1,2,/events/teams/?EventTeamId=YwRRYt35ix7dVlcKJR9nPuJOLhKkWPIIh14%2fN3mXtiI%3d,North Carolina,1,ANDREW LI
5,7,Jesse Kovacs,,,"5'7""",2,1,0,1,/events/teams/?EventTeamId=YwRRYt35ix7dVlcKJR9nPuJOLhKkWPIIh14%2fN3mXtiI%3d,North Carolina,1,JESSE KOVACS
6,9,Colin Smith,Cutter,,"6'4""",0,0,0,0,/events/teams/?EventTeamId=YwRRYt35ix7dVlcKJR9nPuJOLhKkWPIIh14%2fN3mXtiI%3d,North Carolina,1,COLIN SMITH
7,10,Marcus Rovner,Cutter,,"5'9""",3,1,7,4,/events/teams/?EventTeamId=YwRRYt35ix7dVlcKJR9nPuJOLhKkWPIIh14%2fN3mXtiI%3d,North Carolina,1,MARCUS ROVNER
8,11,Taek Lee,Defense (Handler),,"1'0""",0,1,2,2,/events/teams/?EventTeamId=YwRRYt35ix7dVlcKJR9nPuJOLhKkWPIIh14%2fN3mXtiI%3d,North Carolina,1,TAEK LEE
9,12,Elijah Long,,,"5'11""",5,9,1,9,/events/teams/?EventTeamId=YwRRYt35ix7dVlcKJR9nPuJOLhKkWPIIh14%2fN3mXtiI%3d,North Carolina,1,ELIJAH LONG
10,13,Daniel Fan,Dump,,"5'7""",0,0,0,0,/events/teams/?EventTeamId=YwRRYt35ix7dVlcKJR9nPuJOLhKkWPIIh14%2fN3mXtiI%3d,North Carolina,1,DANIEL FAN
