,No.,Name,Position,Year,Height,Goals,Assists,Ds,Turns,url,Team,Seed,UpperName
0,4,Julia Zwierzynski,,,"5'6""",0,0,2,3,/events/teams/?EventTeamId=lOS7UQW38hko4%2fcuDde%2ba1moZ8OlHpTwpj%2bRNABdiC8%3d,North Carolina,1,JULIA ZWIERZYNSKI
1,7,Sydney Rehder,,,"5'5""",2,5,8,28,/events/teams/?EventTeamId=lOS7UQW38hko4%2fcuDde%2ba1moZ8OlHpTwpj%2bRNABdiC8%3d,North Carolina,1,SYDNEY REHDER
2,8,Alice Wang,,,,3,1,10,11,/events/teams/?EventTeamId=lOS7UQW38hko4%2fcuDde%2ba1moZ8OlHpTwpj%2bRNABdiC8%3d,North Carolina,1,ALICE WANG
3,9,Elisabeth Parker,,,"5'4""",1,8,2,28,/events/teams/?EventTeamId=lOS7UQW38hko4%2fcuDde%2ba1moZ8OlHpTwpj%2bRNABdiC8%3d,North Carolina,1,ELISABETH PARKER
4,10,Olivia Monroe,Cutter,,"5'8""",3,0,0,4,/events/teams/?EventTeamId=lOS7UQW38hko4%2fcuDde%2ba1moZ8OlHpTwpj%2bRNABdiC8%3d,North Carolina,1,OLIVIA MONROE
5,11,Dawn Culton,,,,10,6,7,7,/events/teams/?EventTeamId=lOS7UQW38hko4%2fcuDde%2ba1moZ8OlHpTwpj%2bRNABdiC8%3d,North Carolina,1,DAWN CULTON
6,12,Ella Juengst,,,,12,7,7,5,/events/teams/?EventTeamId=lOS7UQW38hko4%2fcuDde%2ba1moZ8OlHpTwpj%2bRNABdiC8%3d,North Carolina,1,ELLA JUENGST
7,13,Tyler Smith,,,,2,17,5,29,/events/teams/?EventTeamId=lOS7UQW38hko4%2fcuDde%2ba1moZ8OlHpTwpj%2bRNABdiC8%3d,North Carolina,1,TYLER SMITH
8,14,Meg Van Horn,,,,1,0,1,0,/events/teams/?EventTeamId=lOS7UQW38hko4%2fcuDde%2ba1moZ8OlHpTwpj%2bRNABdiC8%3d,North Carolina,1,MEG VAN HORN
9,15,Florence Brooks,,,,3,0,0,3,/events/teams/?EventTeamId=lOS7UQW38hko4%2fcuDde%2ba1moZ8OlHpTwpj%2bRNABdiC8%3d,North Carolina,1,FLORENCE BROOKS
10,17,Alana Holder,,,,4,0,0,1,/events/teams/?EventTeamId=lOS7UQW38hko4%2fcuDde%2ba1moZ8OlHpTwpj%2bRNABdiC8%3d,North Carolina,1,ALANA HOLDER
11,18,Madoka Takashima,,,,0,0,1,1,/events/teams/?EventTeamId=lOS7UQW38hko4%2fcuDde%2ba1moZ8OlHpTwpj%2bRNABdiC8%3d,North Carolina,1,MADOKA TAKASHIMA
12,20,Bridget Mizener,,,,7,13,10,23,/events/teams/?EventTeamId=lOS7UQW38hko4%2fcuDde%2ba1moZ8OlHpTwpj%2bRNABdiC8%3d,North Carolina,1,BRIDGET MIZENER
13,22,Anne Worth,Cutter,,"5'4""",8,10,6,13,/events/teams/?EventTeamId=lOS7UQW38hko4%2fcuDde%2ba1moZ8OlHpTwpj%2bRNABdiC8%3d,North Carolina,1,ANNE WORTH
