,No.,Name,Position,Year,Height,Goals,Assists,Ds,Turns,url,Team,Seed,UpperName
0,0,Alexandra Ode,,,"5'8""",1,1,0,1,/events/teams/?EventTeamId=EYvEFaud%2fXgJap99GH77kQaOfZHgNFaZkdQUJvqpIjg%3d,Brute Squad,1,ALEXANDRA ODE
1,2,Sophie Hulbert,,,,1,1,1,0,/events/teams/?EventTeamId=EYvEFaud%2fXgJap99GH77kQaOfZHgNFaZkdQUJvqpIjg%3d,Brute Squad,1,SOPHIE HULBERT
2,3,Courtney Verhaalen,,,,2,1,3,0,/events/teams/?EventTeamId=EYvEFaud%2fXgJap99GH77kQaOfZHgNFaZkdQUJvqpIjg%3d,Brute Squad,1,COURTNEY VERHAALEN
3,4,Lien Hoffmann,,,"5'6""",10,3,6,5,/events/teams/?EventTeamId=EYvEFaud%2fXgJap99GH77kQaOfZHgNFaZkdQUJvqpIjg%3d,Brute Squad,1,LIEN HOFFMANN
4,5,Julianna Werffeli,,,,2,6,2,5,/events/teams/?EventTeamId=EYvEFaud%2fXgJap99GH77kQaOfZHgNFaZkdQUJvqpIjg%3d,Brute Squad,1,JULIANNA WERFFELI
5,6,Claudia Tajima,,,"5'6""",3,5,2,4,/events/teams/?EventTeamId=EYvEFaud%2fXgJap99GH77kQaOfZHgNFaZkdQUJvqpIjg%3d,Brute Squad,1,CLAUDIA TAJIMA
6,7,Kami Groom,,,,7,7,9,8,/events/teams/?EventTeamId=EYvEFaud%2fXgJap99GH77kQaOfZHgNFaZkdQUJvqpIjg%3d,Brute Squad,1,KAMI GROOM
7,10,Amber Sinicrope,,,"1'0""",3,14,1,6,/events/teams/?EventTeamId=EYvEFaud%2fXgJap99GH77kQaOfZHgNFaZkdQUJvqpIjg%3d,Brute Squad,1,AMBER SINICROPE
8,12,Nicole Canning,,,"1'0""",7,1,3,2,/events/teams/?EventTeamId=EYvEFaud%2fXgJap99GH77kQaOfZHgNFaZkdQUJvqpIjg%3d,Brute Squad,1,NICOLE CANNING
9,13,Becky Malinowski,,,,7,10,1,7,/events/teams/?EventTeamId=EYvEFaud%2fXgJap99GH77kQaOfZHgNFaZkdQUJvqpIjg%3d,Brute Squad,1,BECKY MALINOWSKI
10,14,Tulsa Douglas,Handler,,"5'9""",2,2,6,1,/events/teams/?EventTeamId=EYvEFaud%2fXgJap99GH77kQaOfZHgNFaZkdQUJvqpIjg%3d,Brute Squad,1,TULSA DOUGLAS
11,17,Angela Zhu,,,"1'0""",4,10,12,12,/events/teams/?EventTeamId=EYvEFaud%2fXgJap99GH77kQaOfZHgNFaZkdQUJvqpIjg%3d,Brute Squad,1,ANGELA ZHU
12,21,Chelsea Murphy,,,"5'3""",2,2,0,4,/events/teams/?EventTeamId=EYvEFaud%2fXgJap99GH77kQaOfZHgNFaZkdQUJvqpIjg%3d,Brute Squad,1,CHELSEA MURPHY
13,22,Victoria Negus,,,,1,0,0,0,/events/teams/?EventTeamId=EYvEFaud%2fXgJap99GH77kQaOfZHgNFaZkdQUJvqpIjg%3d,Brute Squad,1,VICTORIA NEGUS
14,26,Elana Schwam,,,"5'4""",8,2,2,3,/events/teams/?EventTeamId=EYvEFaud%2fXgJap99GH77kQaOfZHgNFaZkdQUJvqpIjg%3d,Brute Squad,1,ELANA SCHWAM
15,27,Jessie Grignon Tomas,Cutter,,"5'7""",10,1,3,9,/events/teams/?EventTeamId=EYvEFaud%2fXgJap99GH77kQaOfZHgNFaZkdQUJvqpIjg%3d,Brute Squad,1,JESSIE GRIGNON TOMAS
16,28,Shellie Cohen,,,,3,4,2,4,/events/teams/?EventTeamId=EYvEFaud%2fXgJap99GH77kQaOfZHgNFaZkdQUJvqpIjg%3d,Brute Squad,1,SHELLIE COHEN
17,29,Caitlyn Lee,Handler,,,7,4,2,4,/events/teams/?EventTeamId=EYvEFaud%2fXgJap99GH77kQaOfZHgNFaZkdQUJvqpIjg%3d,Brute Squad,1,CAITLYN LEE
18,32,Megan Wilson,,,,0,0,0,1,/events/teams/?EventTeamId=EYvEFaud%2fXgJap99GH77kQaOfZHgNFaZkdQUJvqpIjg%3d,Brute Squad,1,MEGAN WILSON
19,37,Lauren Sadler,Defense (Cutter),,"5'2""",1,0,6,2,/events/teams/?EventTeamId=EYvEFaud%2fXgJap99GH77kQaOfZHgNFaZkdQUJvqpIjg%3d,Brute Squad,1,LAUREN SADLER
20,38,Hannah Henkin,,,,0,1,0,2,/events/teams/?EventTeamId=EYvEFaud%2fXgJap99GH77kQaOfZHgNFaZkdQUJvqpIjg%3d,Brute Squad,1,HANNAH HENKIN
21,42,Rachel Kramer,Cutter,,,2,2,3,1,/events/teams/?EventTeamId=EYvEFaud%2fXgJap99GH77kQaOfZHgNFaZkdQUJvqpIjg%3d,Brute Squad,1,RACHEL KRAMER
22,46,Jojo Emerson,Handler,,"1'0""",1,6,3,2,/events/teams/?EventTeamId=EYvEFaud%2fXgJap99GH77kQaOfZHgNFaZkdQUJvqpIjg%3d,Brute Squad,1,JOJO EMERSON
23,52,Caitlin O'Connell,,,,1,0,0,0,/events/teams/?EventTeamId=EYvEFaud%2fXgJap99GH77kQaOfZHgNFaZkdQUJvqpIjg%3d,Brute Squad,1,CAITLIN O'CONNELL
24,71,Cassandra Wong,Defense (Cutter),,"5'3""",2,5,2,3,/events/teams/?EventTeamId=EYvEFaud%2fXgJap99GH77kQaOfZHgNFaZkdQUJvqpIjg%3d,Brute Squad,1,CASSANDRA WONG
25,83,Alyson Steinfeld,,,"5'11""",2,0,0,4,/events/teams/?EventTeamId=EYvEFaud%2fXgJap99GH77kQaOfZHgNFaZkdQUJvqpIjg%3d,Brute Squad,1,ALYSON STEINFELD
0,0,Katie Weatherhead,Handler,,"1'0""",1,1,1,1,/events/teams/?EventTeamId=T4BS7sU4NVfi0G9vK1LKfuhH1KKFWAadckrI8R7nrew%3d,Schwa,13,KATIE WEATHERHEAD
1,1,Seraphie Allen,,,"5'8""",0,1,0,1,/events/teams/?EventTeamId=T4BS7sU4NVfi0G9vK1LKfuhH1KKFWAadckrI8R7nrew%3d,Schwa,13,SERAPHIE ALLEN
2,2,Makena Strand,,,,1,0,0,1,/events/teams/?EventTeamId=T4BS7sU4NVfi0G9vK1LKfuhH1KKFWAadckrI8R7nrew%3d,Schwa,13,MAKENA STRAND
3,4,Emily Flock,,,,2,0,0,2,/events/teams/?EventTeamId=T4BS7sU4NVfi0G9vK1LKfuhH1KKFWAadckrI8R7nrew%3d,Schwa,13,EMILY FLOCK
4,5,Kimber Coles,,,,9,4,4,2,/events/teams/?EventTeamId=T4BS7sU4NVfi0G9vK1LKfuhH1KKFWAadckrI8R7nrew%3d,Schwa,13,KIMBER COLES
5,6,Demri Horton,,,,8,3,0,2,/events/teams/?EventTeamId=T4BS7sU4NVfi0G9vK1LKfuhH1KKFWAadckrI8R7nrew%3d,Schwa,13,DEMRI HORTON
6,7,Shea Brennan,Handler,,"5'2""",1,5,1,14,/events/teams/?EventTeamId=T4BS7sU4NVfi0G9vK1LKfuhH1KKFWAadckrI8R7nrew%3d,Schwa,13,SHEA BRENNAN
