,No.,Name,Position,Year,Height,Goals,Assists,Ds,Turns,url,Team,Seed,UpperName
0,0,Chris Padilla,Defense (Cutter/Handler),,"6'3""",1,5,2,0,/events/teams/?EventTeamId=osKv8poA9sJWuEMlaRoGueLd19varPNmV1kKog9sRLw%3d,Carleton College,1,CHRIS PADILLA
1,1,Luke Webb,,,,5,5,5,2,/events/teams/?EventTeamId=osKv8poA9sJWuEMlaRoGueLd19varPNmV1kKog9sRLw%3d,Carleton College,1,LUKE WEBB
2,2,Solomon Yanuck,,,"5'11""",4,4,6,5,/events/teams/?EventTeamId=osKv8poA9sJWuEMlaRoGueLd19varPNmV1kKog9sRLw%3d,Carleton College,1,SOLOMON YANUCK
3,3,Tony Ngo,,,"6'0""",2,0,0,2,/events/teams/?EventTeamId=osKv8poA9sJWuEMlaRoGueLd19varPNmV1kKog9sRLw%3d,Carleton College,1,TONY NGO
4,5,Liam Holloway-Bidwell,Dump,,"3'9""",1,1,0,0,/events/teams/?EventTeamId=osKv8poA9sJWuEMlaRoGueLd19varPNmV1kKog9sRLw%3d,Carleton College,1,LIAM HOLLOWAY-BIDWELL
5,6,Alex Olson,Handler,,"5'11""",6,11,1,5,/events/teams/?EventTeamId=osKv8poA9sJWuEMlaRoGueLd19varPNmV1kKog9sRLw%3d,Carleton College,1,ALEX OLSON
6,7,Cameron Hastings,,,,0,0,0,0,/events/teams/?EventTeamId=osKv8poA9sJWuEMlaRoGueLd19varPNmV1kKog9sRLw%3d,Carleton College,1,CAMERON HASTINGS
7,10,Henry Fisher,,,"6'5""",7,2,3,7,/events/teams/?EventTeamId=osKv8poA9sJWuEMlaRoGueLd19varPNmV1kKog9sRLw%3d,Carleton College,1,HENRY FISHER
8,11,Kohl Sparrman,Deep,,"5'11""",0,0,0,0,/events/teams/?EventTeamId=osKv8poA9sJWuEMlaRoGueLd19varPNmV1kKog9sRLw%3d,Carleton College,1,KOHL SPARRMAN
9,12,Timothy Schoch,,,"6'1""",3,3,2,3,/events/teams/?EventTeamId=osKv8poA9sJWuEMlaRoGueLd19varPNmV1kKog9sRLw%3d,Carleton College,1,TIMOTHY SCHOCH
10,13,Alexander Walker,,,,3,2,0,1,/events/teams/?EventTeamId=osKv8poA9sJWuEMlaRoGueLd19varPNmV1kKog9sRLw%3d,Carleton College,1,ALEXANDER WALKER
11,14,Dillon Lanier,Dump,,"6'0""",7,12,0,5,/events/teams/?EventTeamId=osKv8poA9sJWuEMlaRoGueLd19varPNmV1kKog9sRLw%3d,Carleton College,1,DILLON LANIER
12,15,Eric Taylor,Defense (Cutter),,"6'1""",7,6,5,5,/events/teams/?EventTeamId=osKv8poA9sJWuEMlaRoGueLd19varPNmV1kKog9sRLw%3d,Carleton College,1,ERIC TAYLOR
13,16,Elias Levey-Swain,Handler,,"6'1""",1,0,0,0,/events/teams/?EventTeamId=osKv8poA9sJWuEMlaRoGueLd19varPNmV1kKog9sRLw%3d,Carleton College,1,ELIAS LEVEY-SWAIN
14,17,Adam Throne,,,"6'1""",2,0,0,1,/events/teams/?EventTeamId=osKv8poA9sJWuEMlaRoGueLd19varPNmV1kKog9sRLw%3d,Carleton College,1,ADAM THRONE
15,19,Stanley Birdsong,,,"6'3""",7,3,3,3,/events/teams/?EventTeamId=osKv8poA9sJWuEMlaRoGueLd19varPNmV1kKog9sRLw%3d,Carleton College,1,STANLEY BIRDSONG
16,21,Ethan Bloodworth,Handler/Cutter,,"5'10""",5,4,2,4,/events/teams/?EventTeamId=osKv8poA9sJWuEMlaRoGueLd19varPNmV1kKog9sRLw%3d,Carleton College,1,ETHAN BLOODWORTH
17,22,Austin Baxter,Defense (Cutter),,"5'9""",0,1,0,1,/events/teams/?EventTeamId=osKv8poA9sJWuEMlaRoGueLd19varPNmV1kKog9sRLw%3d,Carleton College,1,AUSTIN BAXTER
18,23,Alexander Kucich,Cutter,,"5'11""",0,0,0,1,/events/teams/?EventTeamId=osKv8poA9sJWuEMlaRoGueLd19varPNmV1kKog9sRLw%3d,Carleton College,1,ALEXANDER KUCICH
19,24,Noah Cohen,Deep,,"1'0""",1,1,0,0,/events/teams/?EventTeamId=osKv8poA9sJWuEMlaRoGueLd19varPNmV1kKog9sRLw%3d,Carleton College,1,NOAH COHEN
20,25,Justin Washington,Dump,,"5'0""",2,0,2,1,/events/teams/?EventTeamId=osKv8poA9sJWuEMlaRoGueLd19varPNmV1kKog9sRLw%3d,Carleton College,1,JUSTIN WASHINGTON
21,27,Harrison Wolff Landau,,,"5'10""",9,3,1,1,/events/teams/?EventTeamId=osKv8poA9sJWuEMlaRoGueLd19varPNmV1kKog9sRLw%3d,Carleton College,1,HARRISON WOLFF LANDAU
22,32,Andrew Roy,Handler,,"5'9""",0,1,0,1,/events/teams/?EventTeamId=osKv8poA9sJWuEMlaRoGueLd19varPNmV1kKog9sRLw%3d,Carleton College,1,ANDREW ROY
23,51,Jared Kannel,Dump,,"8'11""",0,1,0,1,/events/teams/?EventTeamId=osKv8poA9sJWuEMlaRoGueLd19varPNmV1kKog9sRLw%3d,Carleton College,1,JARED KANNEL
24,53,David O'Dea,Handler,,"6'1""",1,7,2,3,/events/teams/?EventTeamId=osKv8poA9sJWuEMlaRoGueLd19varPNmV1kKog9sRLw%3d,Carleton College,1,DAVID O'DEA
25,92,Joe White,Deep,,"5'11""",8,9,4,11,/events/teams/?EventTeamId=osKv8poA9sJWuEMlaRoGueLd19varPNmV1kKog9sRLw%3d,Carleton College,1,JOE WHITE
0,0,Jared Madore,Handler/Cutter,,"6'2""",2,0,0,0,/events/teams/?EventTeamId=oo2zsvGGAMNIng19UH409qzamM7UHxyH2o%2bUu4aMSJc%3d,Massachusetts,8,JARED MADORE
1,5,Jake Radack,Handler/Cutter,,"5'10""",4,9,2,5,/events/teams/?EventTeamId=oo2zsvGGAMNIng19UH409qzamM7UHxyH2o%2bUu4aMSJc%3d,Massachusetts,8,JAKE RADACK
2,7,Gabriel Schmitt,Handler/Cutter,,"5'11""",0,0,0,2,/events/teams/?EventTeamId=oo2zsvGGAMNIng19UH409qzamM7UHxyH2o%2bUu4aMSJc%3d,Massachusetts,8,GABRIEL SCHMITT
3,9,Dillon Monti,Handler/Cutter,,"6'1""",1,1,1,1,/events/teams/?EventTeamId=oo2zsvGGAMNIng19UH409qzamM7UHxyH2o%2bUu4aMSJc%3d,Massachusetts,8,DILLON MONTI
4,10,Elijah Mishkind,Handler/Cutter,,"5'10""",1,3,1,5,/events/teams/?EventTeamId=oo2zsvGGAMNIng19UH409qzamM7UHxyH2o%2bUu4aMSJc%3d,Massachusetts,8,ELIJAH MISHKIND
5,14,Gregory Oreste,Handler/Cutter,,"5'9""",1,1,0,2,/events/teams/?EventTeamId=oo2zsvGGAMNIng19UH409qzamM7UHxyH2o%2bUu4aMSJc%3d,Massachusetts,8,GREGORY ORESTE
6,15,Tannor Johnson,Handler/Cutter,,"6'3""",9,15,5,8,/events/teams/?EventTeamId=oo2zsvGGAMNIng19UH409qzamM7UHxyH2o%2bUu4aMSJc%3d,Massachusetts,8,TANNOR JOHNSON
7,18,Brett Gramann,Handler/Cutter,,"5'9""",4,7,7,8,/events/teams/?EventTeamId=oo2zsvGGAMNIng19UH409qzamM7UHxyH2o%2bUu4aMSJc%3d,Massachusetts,8,BRETT GRAMANN
8,21,Patrick Barron,Handler/Cutter,,"6'2""",4,6,3,4,/events/teams/?EventTeamId=oo2zsvGGAMNIng19UH409qzamM7UHxyH2o%2bUu4aMSJc%3d,Massachusetts,8,PATRICK BARRON
9,22,Nathan Ryan,Handler/Cutter,,,1,0,2,0,/events/teams/?EventTeamId=oo2zsvGGAMNIng19UH409qzamM7UHxyH2o%2bUu4aMSJc%3d,Massachusetts,8,NATHAN RYAN
10,29,Jared Chapman,Handler/Cutter,,"5'10""",0,0,0,1,/events/teams/?EventTeamId=oo2zsvGGAMNIng19UH409qzamM7UHxyH2o%2bUu4aMSJc%3d,Massachusetts,8,JARED CHAPMAN
11,31,Eddie Scott,Handler/Cutter,,"6'0""",13,2,0,3,/events/teams/?EventTeamId=oo2zsvGGAMNIng19UH409qzamM7UHxyH2o%2bUu4aMSJc%3d,Massachusetts,8,EDDIE SCOTT
12,32,Jack Staples,Handler/Cutter,,"6'1""",4,4,2,1,/events/teams/?EventTeamId=oo2zsvGGAMNIng19UH409qzamM7UHxyH2o%2bUu4aMSJc%3d,Massachusetts,8,JACK STAPLES
13,33,Jared Scheinberg,Handler/Cutter,,"5'6""",3,2,2,1,/events/teams/?EventTeamId=oo2zsvGGAMNIng19UH409qzamM7UHxyH2o%2bUu4aMSJc%3d,Massachusetts,8,JARED SCHEINBERG
14,38,Matt Caswell,Handler/Cutter,,"6'2""",2,0,0,2,/events/teams/?EventTeamId=oo2zsvGGAMNIng19UH409qzamM7UHxyH2o%2bUu4aMSJc%3d,Massachusetts,8,MATT CASWELL
15,42,Liam Gallinagh,Handler/Cutter,,"10'11""",1,0,1,1,/events/teams/?EventTeamId=oo2zsvGGAMNIng19UH409qzamM7UHxyH2o%2bUu4aMSJc%3d,Massachusetts,8,LIAM GALLINAGH
16,47,Ethan Smith,Handler/Cutter,,"5'10""",0,0,0,0,/events/teams/?EventTeamId=oo2zsvGGAMNIng19UH409qzamM7UHxyH2o%2bUu4aMSJc%3d,Massachusetts,8,ETHAN SMITH
17,70,Samuel Gagnon,Handler/Cutter,,"5'10""",1,1,0,5,/events/teams/?EventTeamId=oo2zsvGGAMNIng19UH409qzamM7UHxyH2o%2bUu4aMSJc%3d,Massachusetts,8,SAMUEL GAGNON
18,76,Solomon Maerowitz-McMahan,Handler/Cutter,,,6,5,2,7,/events/teams/?EventTeamId=oo2zsvGGAMNIng19UH409qzamM7UHxyH2o%2bUu4aMSJc%3d,Massachusetts,8,SOLOMON MAEROWITZ-MCMAHAN
19,80,Chris Bartoli,Handler/Cutter,,"6'0""",3,1,0,0,/events/teams/?EventTeamId=oo2zsvGGAMNIng19UH409qzamM7UHxyH2o%2bUu4aMSJc%3d,Massachusetts,8,CHRIS BARTOLI
20,89,Eugene L'Heureux,Handler/Cutter,,,3,3,2,2,/events/teams/?EventTeamId=oo2zsvGGAMNIng19UH409qzamM7UHxyH2o%2bUu4aMSJc%3d,Massachusetts,8,EUGENE L'HEUREUX
21,96,Alexander Donadio,Handler/Cutter,,,0,3,3,1,/events/teams/?EventTeamId=oo2zsvGGAMNIng19UH409qzamM7UHxyH2o%2bUu4aMSJc%3d,Massachusetts,8,ALEXANDER DONADIO
0,1,Benjamin Girard,,,,0,0,2,0,/events/teams/?EventTeamId=ZN5FH%2bk61SMAAiWK1KZofnNt6gOeWEfT%2b72Sf28P6Ak%3d,Northwestern,17,BENJAMIN GIRARD
1,2,Theodore Bisdikian,Deep,,"7'2""",1,5,0,7,/events/teams/?EventTeamId=ZN5FH%2bk61SMAAiWK1KZofnNt6gOeWEfT%2b72Sf28P6Ak%3d,Northwestern,17,THEODORE BISDIKIAN
2,3,Joseph Harari,Handler,,"6'1""",0,0,1,4,/events/teams/?EventTeamId=ZN5FH%2bk61SMAAiWK1KZofnNt6gOeWEfT%2b72Sf28P6Ak%3d,Northwestern,17,JOSEPH HARARI
3,5,Raul Rosenfeld,,,,0,1,3,4,/events/teams/?EventTeamId=ZN5FH%2bk61SMAAiWK1KZofnNt6gOeWEfT%2b72Sf28P6Ak%3d,Northwestern,17,RAUL ROSENFELD
4,7,Keith Bohrer,,,,4,0,2,5,/events/teams/?EventTeamId=ZN5FH%2bk61SMAAiWK1KZofnNt6gOeWEfT%2b72Sf28P6Ak%3d,Northwestern,17,KEITH BOHRER
5,8,Jevons Liu,Cutter,,"5'7""",0,1,0,0,/events/teams/?EventTeamId=ZN5FH%2bk61SMAAiWK1KZofnNt6gOeWEfT%2b72Sf28P6Ak%3d,Northwestern,17,JEVONS LIU
6,10,Matthew Niemer,,,,4,1,1,7,/events/teams/?EventTeamId=ZN5FH%2bk61SMAAiWK1KZofnNt6gOeWEfT%2b72Sf28P6Ak%3d,Northwestern,17,MATTHEW NIEMER
7,11,Jeffrey Holm,,,,4,18,5,17,/events/teams/?EventTeamId=ZN5FH%2bk61SMAAiWK1KZofnNt6gOeWEfT%2b72Sf28P6Ak%3d,Northwestern,17,JEFFREY HOLM
8,12,Kyle Rutledge,,,,4,11,4,2,/events/teams/?EventTeamId=ZN5FH%2bk61SMAAiWK1KZofnNt6gOeWEfT%2b72Sf28P6Ak%3d,Northwestern,17,KYLE RUTLEDGE
9,15,Max Moore,,,,14,6,1,5,/events/teams/?EventTeamId=ZN5FH%2bk61SMAAiWK1KZofnNt6gOeWEfT%2b72Sf28P6Ak%3d,Northwestern,17,MAX MOORE
10,16,Nathan Graber-Lipperman,,,,1,0,0,0,/events/teams/?EventTeamId=ZN5FH%2bk61SMAAiWK1KZofnNt6gOeWEfT%2b72Sf28P6Ak%3d,Northwestern,17,NATHAN GRABER-LIPPERMAN
11,17,Andrew Patel,,,,1,4,0,5,/events/teams/?EventTeamId=ZN5FH%2bk61SMAAiWK1KZofnNt6gOeWEfT%2b72Sf28P6Ak%3d,Northwestern,17,ANDREW PATEL
12,18,Ray Tang,,,,0,0,0,1,/events/teams/?EventTeamId=ZN5FH%2bk61SMAAiWK1KZofnNt6gOeWEfT%2b72Sf28P6Ak%3d,Northwestern,17,RAY TANG
13,20,Jay Valdillez,Defense (Cutter),,"5'10""",13,6,5,12,/events/teams/?EventTeamId=ZN5FH%2bk61SMAAiWK1KZofnNt6gOeWEfT%2b72Sf28P6Ak%3d,Northwestern,17,JAY VALDILLEZ
14,23,Eric Hochberger,,,"5'7""",0,0,3,1,/events/teams/?EventTeamId=ZN5FH%2bk61SMAAiWK1KZofnNt6gOeWEfT%2b72Sf28P6Ak%3d,Northwestern,17,ERIC HOCHBERGER
15,32,Kenneth Xuan,Defense (Handler),,"5'7""",0,0,0,6,/events/teams/?EventTeamId=ZN5FH%2bk61SMAAiWK1KZofnNt6gOeWEfT%2b72Sf28P6Ak%3d,Northwestern,17,KENNETH XUAN
16,33,Micah Thompkins,,,"6'1""",1,1,0,0,/events/teams/?EventTeamId=ZN5FH%2bk61SMAAiWK1KZofnNt6gOeWEfT%2b72Sf28P6Ak%3d,Northwestern,17,MICAH THOMPKINS
