,No.,Name,Position,Year,Height,Goals,Assists,Ds,Turns,url,Team,Seed,UpperName
23,27,Julia Snyder,Handler,,,0,5,3,5,/events/teams/?EventTeamId=WOm6LEN0GeA%2bN39pQs67A6%2bPK8SAJ1z%2bNZiSaPOOuKE%3d,Seattle Riot,1,JULIA SNYDER
24,31,Stephanie Lim,Handler,,,2,6,2,2,/events/teams/?EventTeamId=WOm6LEN0GeA%2bN39pQs67A6%2bPK8SAJ1z%2bNZiSaPOOuKE%3d,Seattle Riot,1,STEPHANIE LIM
25,77,Jillian Goodreau,Mid,,,1,0,1,2,/events/teams/?EventTeamId=WOm6LEN0GeA%2bN39pQs67A6%2bPK8SAJ1z%2bNZiSaPOOuKE%3d,Seattle Riot,1,JILLIAN GOODREAU
26,81,Charlie Mercer,Mid,,,3,2,7,1,/events/teams/?EventTeamId=WOm6LEN0GeA%2bN39pQs67A6%2bPK8SAJ1z%2bNZiSaPOOuKE%3d,Seattle Riot,1,CHARLIE MERCER
0,0,Marianna Heckendorn,,,,1,1,1,5,/events/teams/?EventTeamId=mMzmGyV%2by14aQi0xfK%2bSgm8P2ID2hMSBySG62k5hi34%3d,Underground,13,MARIANNA HECKENDORN
1,1,Jessica Spaulding,Handler,,"5'9""",1,7,5,7,/events/teams/?EventTeamId=mMzmGyV%2by14aQi0xfK%2bSgm8P2ID2hMSBySG62k5hi34%3d,Underground,13,JESSICA SPAULDING
2,2,Lindsey Wilson,,,,4,1,7,7,/events/teams/?EventTeamId=mMzmGyV%2by14aQi0xfK%2bSgm8P2ID2hMSBySG62k5hi34%3d,Underground,13,LINDSEY WILSON
3,3,Daniella Welsh,,,,1,0,0,0,/events/teams/?EventTeamId=mMzmGyV%2by14aQi0xfK%2bSgm8P2ID2hMSBySG62k5hi34%3d,Underground,13,DANIELLA WELSH
4,4,Nicole Cramer,Defense (Cutter),,"5'6""",3,2,3,4,/events/teams/?EventTeamId=mMzmGyV%2by14aQi0xfK%2bSgm8P2ID2hMSBySG62k5hi34%3d,Underground,13,NICOLE CRAMER
5,5,Tiffany Phan,Handler,,"5'0""",1,3,1,6,/events/teams/?EventTeamId=mMzmGyV%2by14aQi0xfK%2bSgm8P2ID2hMSBySG62k5hi34%3d,Underground,13,TIFFANY PHAN
6,6,Molly Sinnott,,,,7,4,1,2,/events/teams/?EventTeamId=mMzmGyV%2by14aQi0xfK%2bSgm8P2ID2hMSBySG62k5hi34%3d,Underground,13,MOLLY SINNOTT
